street;zip_code;city;country;latitude;longitude
Kume; ;Vlore;Albania;40.4686;19.483179999999997
Residenza Xhelili :-); ;Rome;Italia;41.9842734;12.695319099999999
Residenza Torre Maura; ;Rome;Italia;41.8919;12.5113
Somewhere in Cologne; ;Köln; Germania;50.935173;6.953100999999999
Malaga close to train station;29002;Malaga;Spain;36.721275;-4.421399
Lucio Sestio;174;Rome;Italia;41.85795;12.55526
Residenza Schiavonetti;173;Rome;Italia;41.84468;12.61123
Viale Antonio Ciamarra;173;Rome;Italia;41.852871;12.59015
Liljeholmen;11763;Stockholm;Sweden;59.3081;18.02062
Luma;12051;Stockoholm;Sweden;59.30359;18.0981
Atocha;28014;Madrid;Spain;40.40627;-3.68285
Lavapies;28012;Madrid;Spain;40.410470000000004;-3.70152
Stadion;11550;Stockholm;Sweden;59.34509;18.083370000000002
Anker;1061;Budapest;Hungary;47.498345;19.055608
Fovam Ter;1056;Budapest;Hungary;47.486092;19.057756
Arsenalstrasse;1100;Vienna;Austria;48.185780;16.382980
